Khanty_people	__people__ethnicity__languages_spoken	Khanty_Language
Greensburg	__location__location__people_born_here	Donald_A._Bailey
Lviv_University	__education__educational_institution__school_type	University
James_Litherland	__music__artist__genre	Progressive_rock
Kerala	__location__location__people_born_here	Venu_Nair
Ascot	__location__location__containedby	Iowa
Edvin_Laine	__people__person__place_of_birth	Iisalmi
Tennis	__olympics__olympic_sport__olympic_games_contested	1920_Summer_Olympics
Beth_Cordingly	__people__person__nationality	England
Blair_Atholl	__location__location__containedby	United_Kingdom
Zalman_Shazar	__people__person__religion	Judaism
Free	__music__recording__artist	Sarah_Brightman
Shropshire	__location__location__contains	Ashford_Bowdler
Jerry_Harned	__people__person__gender	Male
Missolonghi	__location__location__people_born_here	Liza_Zoe
Storm_the_Streets	__music__album__release_type	Album
TinyMe	__common__topic__notable_types	Operating_System
László_Beleznai	__people__person__nationality	Hungary
Greek_Language	__music__lyricist__lyrics_written	Vassilis_Vassilikos
Manuel_V._Pangilinan	__people__person__profession	Film_Producer
Gerard_Caris	__people__person__nationality	Netherlands
Ljubljana	__location__location__people_born_here	Muamer_Vugdalić
Clorox_Girls	__music__release__format	Compact_disc
Terry_Luttrell	__people__person__gender	Male
Food	__type__object__permission	Language
Vaikom_Vijayalakshmi	__people__person__nationality	India
Oh_Little_Fire	__music__release__format	Compact_disc
Shropshire	__location__location__contains	Cound
Radiant_Awakening	__music__release__region	Netherlands
Daybreak	__music__recording__releases	Maximum_Respect
Noria_Mabasa	__people__person__profession	Artist
Tucker_Martine	__common__topic__notable_types	Record_Producer
Fortune_Arterial	__cvg__computer_videogame__cvg_genre	Fantasy
Gerry_Haner	__people__person__gender	Male
Avi_Arad	__freebase__valuenotation__is_reviewed	Date_of_birth
Eloise	__book__written_work__subjects	Christmas
Blaze_of_Glory	__music__album__releases	Blaze_of_Glory
Foundling	__music__release__region	United_Kingdom
Thomas_Nelson	__book__publishing_company__books_published	Skin
Ljubljana	__location__location__people_born_here	Polona_Juh
Vince_Bell	__people__person__profession	Songwriter
Gloria_Marín	__people__person__nationality	Mexico
Trevico	__location__location__containedby	Campania
Bill_Schmidt	__olympics__olympic_games__medals_awarded	1972_Summer_Olympics
Xenophon	__symbols__name_source__namesakes	Xenophon
David_Millin	__people__person__profession	Film_Producer
Christina_Christ	__people__person__profession	Film_Producer
Jason_Armstead	__people__person__ethnicity	African_American
Murray_Mayall	__people__person__gender	Male
J.D._Cochran	__people__person__profession	Cinematographer
Juan_Jesus	__people__person__nationality	Brazil
Toyota_Sequoia	__automotive__model__automotive_class	Crossover
Colin_Harper_Plank	__people__person__profession	Film_Producer
Brian_Ferguson	__people__person__gender	Male
Canoe_Slalom	__olympics__olympic_sport__olympic_games_contested	1996_Summer_Olympics
Symphonie_Nr._7	__music__album__release_type	Album
Greek_Language	__music__lyricist__lyrics_written	Kostis_Palamas
Texas_Flood	__music__album__genre	Jazz
Castle_Roogna	__book__book__genre	Fantasy
Gothika	__media_common__netflix_title__netflix_genres	Crime_Thrillers
Tony_Robello	__people__person__profession	Baseball_player
Cult_Comedies	__media_common__netflix_genre__titles	Raising_Arizona
Paul_McGuigan	__people__person__gender	Male
Princeton	__location__location__people_born_here	Bob_Backlund
Eddie_Bressoud	__people__person__profession	Baseball_player
Francis_Edward_Bache	__people__person__nationality	England
Mariano_Duncan	__people__person__gender	Male
John_Morrissey	__people__deceased_person__place_of_death	Troy
Maggie_Peren	__people__person__profession	Screenwriter
Garikayi_Mutambirwa	__people__person__gender	Male
Robert_C._Hughes	__people__person__profession	Film_Producer
Five_Iron_Frenzy	__music__artist__label	EMI
Dawaun_Parker	__common__topic__notable_types	Record_Producer
Sure_Love	__music__album__release_type	Album
Batang_County	__location__location__containedby	China
Abraham_Beame	__people__person__religion	Judaism
Al_Nagler	__people__person__gender	Male
I'm_Scared	__music__artist__track_contributions	Jim_Keltner
Pete_O'Brien	__people__person__place_of_birth	Santa_Monica
Claude_Joseph	__people__person__profession	Comedian
John_Creighton	__people__person__gender	Male
Shlomo_Aronson	__people__person__gender	Male
Mary_Agnes_Snively	__people__person__place_of_birth	St._Catharines
Nana	__common__topic__notable_types	Film_character
The_Porcelain_Doll	__media_common__netflix_title__netflix_genres	Eastern_Europe
Chin_Han	__people__person__profession	Theatre_Director
Stuart_Immonen	__fictional_universe__fictional_character_creator__fictional_characters_created	Alpha_Centurion
Thumbelina	__film__film_distribution_medium__films_distributed_in_this_medium	Streaming_media
Elena_Verdugo	__common__topic__notable_types	TV_Actor
Uxoricide	__people__cause_of_death__people	Mariamne_I
Jay_Berwanger	__people__deceased_person__place_of_death	Oak_Brook
Andrew_Holmes	__people__person__gender	Male
Symphony_no._5	__music__album__artist	Vienna_Philharmonic
Carol_Geddes	__people__person__profession	Television_producer
Box_Elder_County	__location__us_county__hud_county_place	Deweyville
Eclipse	__music__single__versions	Eclipse
Bergenfield	__location__hud_county_place__county	Bergen_County
Beach_Cruiser	__music__album__primary_release	Beach_Cruiser
Free_Fall	__book__book__genre	Detective_fiction
John_Schnatter	__organization__organization__leadership	Papa_John's_Pizza
Janet_Collins	__people__person__ethnicity	African_American
Little_black_dress	__type__object__type	Topic
Kerala	__location__location__people_born_here	Suresh_Balaje
Susan_Fleming	__people__deceased_person__place_of_death	Rancho_Mirage
Henry_Darke	__people__person__nationality	England
Ray_Arnott	__music__artist__genre	Progressive_rock
The_Great_Red_Spot	__music__release__track	Venus
Weird_Science	__music__album__album_content_type	Compilation_album
Twelve_Dreams	__theater__theater_production__producer	Joseph_Papp
Craftsman	__music__album__artist	Guy_Clark
Protein	__music__release_track__recording	Protein
The_Eclipse	__film__film__country	Republic_of_Ireland
Rebecca_Goldstein	__people__person__profession	Writer
Polow_da_Don	__music__producer__releases_produced	The_Dutchess
Michael_Giacchino	__people__person__gender	Male
Alex_Kingston	__award__award_nominee__award_nominations	Laura_Innes
Colin_Borden	__people__person__gender	Male
Zamaanat	__film__film__language	Hindi_Language
James_Maxwell	__people__person__profession	Writer
Lou_Diamond_Phillips	__freebase__valuenotation__is_reviewed	Date_of_birth
A_Twist_of_the_Knife	__film__film__produced_by	Fred_Silverman
Raymond_Radiguet	__people__person__nationality	France
Under_My_Skin	__music__album__genre	Acoustic_music
Philip_Nixon	__music__artist__origin	United_Kingdom
Points_in_Space	__film__film__genre	Documentary_film
Des_Hamilton	__people__person__place_of_birth	Glasgow
The_Unexplained	__tv__tv_program__genre	Documentary_film
Wadsworth_Atheneum	__architecture__building__building_function	Art_Gallery
James_Wood	__people__person__place_of_birth	Charlottetown
Shropshire	__location__location__contains	Kinton
TXT	__computer__file_format__genre	Text_file
University_of_Gujrat	__location__location__containedby	Punjab,_Pakistan
Kielce_Synagogue	__location__location__containedby	Poland
Simon_Starling	__freebase__valuenotation__is_reviewed	Place_of_birth
Hirate_Masahide	__people__person__gender	Male
War_of_Dagestan	__military__military_conflict__military_personnel_involved	Shamil_Basayev
Columbus	__music__album__releases	Columbus
Bruno_Girard	__people__person__place_of_birth	France
Adrienne_Moreau	__people__person__place_of_birth	Trenton
Big_Fish	__common__topic__notable_types	Musical_Release
Texas_Flood	__music__album__genre	Blues_rock
Ury,_Seine-et-Marne	__location__location__containedby	Île-de-France
Megaphone	__music__artist__track	Purple
Mizar	__astronomy__star__constellation	Ursa_Major
Abra_Catastrophe!	__film__film__genre	Animation
Ambert	__location__location__people_born_here	Pierre-Loup_Rajot
Patsy_Price	__people__person__nationality	United_Kingdom
Azam_Ali	__music__group_member__instruments_played	Zill
Ontario	__location__location__people_born_here	Omar_Bolden
Dewi_Nantbrân	__people__person__profession	Writer
Ljubljana	__location__location__people_born_here	Andrej_Mlakar
Akash_Deep	__people__person__profession	Cinematographer
Fortress	__computer__programming_language__influenced_by	Fortran
Ian_Curtis	__music__group_member__instruments_played	Keyboard
CeCe_Frey	__music__artist__genre	Dance_music
Bill_McPeak	__people__person__gender	Male
Mulberry_Grove	__common__topic__notable_types	City_Town_Village
Arlon	__location__location__people_born_here	Anthony_Moris
Chandel_district	__location__location__containedby	Manipur
Ed_Phelps	__people__person__profession	Baseball_player
Spider-Man_2	__award__award_nominee__award_nominations	Kirsten_Dunst
Tri	__music__release__format	Compact_disc
Big_Love	__music__album__release_type	Album
Stratos_Tzitzis	__common__topic__notable_types	Film_director
Triathlon	__olympics__olympic_participating_country__athletes	United_Kingdom
Ian_Gillespie	__people__person__place_of_birth	Plymouth
Colin_Harper_Plank	__people__person__profession	Screenwriter
Darby_Lux_I	__people__person__profession	Lawyer
